;id_institucion;nom_institucion;nom_institucion_html;id_carrera;nombre_carrera;nombre_carrera_HTML;nombre_carrera_no_tilde;ORM_laravel
1;22;Centro de Formación Técnica Alpes;"Centro de Formaci&oacute;n T&eacute;cnica Alpes";160;Técnico en Fotografía;"T&eacute;cnico en Fotograf&iacute;a";Tecnico en Fotografia;"                =""$idInstitucion = \DB::table('institucions')->insertGetId(array("""
2;23;Centro de Formación Técnica Andrés Bello;"Centro de Formaci&oacute;n T&eacute;cnica Andr&eacute;s Bello";130;Técnico en Administración de Empresas;"T&eacute;cnico en Administraci&oacute;n de Empresas";Tecnico en Administracion de Empresas;"                    'nombre_institucion'    => ""&""'""&Ingeniería en Computación e Informática',"
3;23;Centro de Formación Técnica Andrés Bello;"Centro de Formaci&oacute;n T&eacute;cnica Andr&eacute;s Bello";143;Técnico en Computación e Informática;"T&eacute;cnico en Computaci&oacute;n e Inform&aacute;tica";Tecnico en Computacion e Informatica;"                    'nombre_institucion_html'    => 'Ingenier&iacute;a en Computaci&oacute;n e Inform&aacute;tica',"
4;23;Centro de Formación Técnica Andrés Bello;"Centro de Formaci&oacute;n T&eacute;cnica Andr&eacute;s Bello";145;Técnico en Construcción y Obras Civiles;"T&eacute;cnico en Construcci&oacute;n y Obras Civiles";Tecnico en Construccion y Obras Civiles;                    'nombre_institucion_no_tilde'    => 'Ingenieria en Computacion e Informatica',
5;23;Centro de Formación Técnica Andrés Bello;"Centro de Formaci&oacute;n T&eacute;cnica Andr&eacute;s Bello";158;Técnico en Enfermería;"T&eacute;cnico en Enfermer&iacute;a";Tecnico en Enfermeria;"                ));"
6;23;Centro de Formación Técnica Andrés Bello;"Centro de Formaci&oacute;n T&eacute;cnica Andr&eacute;s Bello";177;Técnico en Prevención de Riesgos;"T&eacute;cnico en Prevenci&oacute;n de Riesgos";Tecnico en Prevencion de Riesgos;
7;23;Centro de Formación Técnica Andrés Bello;"Centro de Formaci&oacute;n T&eacute;cnica Andr&eacute;s Bello";187;Técnico en Servicio Social;"T&eacute;cnico en Servicio Social";Tecnico en Servicio Social;
8;23;Centro de Formación Técnica Andrés Bello;"Centro de Formaci&oacute;n T&eacute;cnica Andr&eacute;s Bello";196;Técnico Jurídico;"T&eacute;cnico Jur&iacute;dico";Tecnico Juridico;
9;24;Centro de Formación Técnica Barros Arana;"Centro de Formaci&oacute;n T&eacute;cnica Barros Arana";158;Técnico en Enfermería;"T&eacute;cnico en Enfermer&iacute;a";Tecnico en Enfermeria;
10;25;Centro de Formación Técnica Cámara de Comercio de Santiago;"Centro de Formaci&oacute;n T&eacute;cnica C&aacute;mara de Comercio de Santiago";130;Técnico en Administración de Empresas;"T&eacute;cnico en Administraci&oacute;n de Empresas";Tecnico en Administracion de Empresas;
